bgwiki_title	category	state	impl_file	wiki_fetch	csid_check	start_npc_file	wiki_url
A Clock Most Delicate	Jeuno Quests	implemented	scripts/quests/jeuno/A_Clock_Most_Delicate.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Clock_Most_Delicate
A Craftsman's Work	Dragoon Artifact Quests	implemented	scripts/zones/Eastern_Altepa_Desert/npcs/qm.lua				https://www.bg-wiki.com/ffxi/A_Craftsman%27s_Work
A Crisis in the Making	Repeatable Quests	implemented	scripts/quests/windurst/A_Crisis_in_the_Making.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Crisis_in_the_Making
A Delectable Demon	Abyssea - Misareaux Quests	implemented	scripts/quests/abyssea/A_Delectable_Demon.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Delectable_Demon
A Discerning Eye (Bastok)	Bastok Quests	implemented	scripts/quests/sandoria/A_Discerning_Eye.lua				https://www.bg-wiki.com/ffxi/A_Discerning_Eye_%28Bastok%29
A Discerning Eye (Kazham)	Kazham Quests	implemented	scripts/quests/sandoria/A_Discerning_Eye.lua				https://www.bg-wiki.com/ffxi/A_Discerning_Eye_%28Kazham%29
A Discerning Eye (San d'Oria)	Port San d'Oria Quests	implemented	scripts/quests/sandoria/A_Discerning_Eye.lua				https://www.bg-wiki.com/ffxi/A_Discerning_Eye_%28San_d%27Oria%29
A Discerning Eye (Windurst)	Port Windurst Quests	implemented	scripts/quests/sandoria/A_Discerning_Eye.lua				https://www.bg-wiki.com/ffxi/A_Discerning_Eye_%28Windurst%29
A Farewell to Felines	Crystal War Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Farewell_to_Felines
A Feast for Gnats	Crystal War Quests	implemented	scripts/quests/crystalWar/A_Feast_for_Gnats.lua		CSID_MISSING(94:1050)		https://www.bg-wiki.com/ffxi/A_Feast_for_Gnats
A Feather in One's Cap	Repeatable Quests	implemented	scripts/quests/windurst/A_Feather_in_Ones_Cap.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Feather_in_One%27s_Cap
A Flash in the Pan	Bastok Markets Quests	implemented	scripts/quests/bastok/A_Flash_in_the_Pan.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Flash_in_the_Pan
A Fluttery Fiend	Abyssea - Attohwa Quests	implemented	scripts/quests/abyssea/A_Fluttery_Fiend.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Fluttery_Fiend
A Forbidden Reunion	Avatar Quests	implemented	scripts/quests/crystalWar/A_Forbidden_Reunion.lua		CSID_MISSING(87:1340)		https://www.bg-wiki.com/ffxi/A_Forbidden_Reunion
A Foreman's Best Friend	Bastok Quests	implemented	scripts/quests/bastok/A_Foremans_Best_Friend.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Foreman%27s_Best_Friend
A Furious Finale	Jeuno Quests	implemented	scripts/quests/jeuno/A_Furious_Finale.lua				https://www.bg-wiki.com/ffxi/A_Furious_Finale
A Generous General?	Other Quests	implemented	scripts/quests/otherAreas/A_Generous_General.lua				https://www.bg-wiki.com/ffxi/A_Generous_General%3F
A Geothermal Expedition	Adoulin Quests	implemented	scripts/quests/adoulin/A_Geothermal_Expedition.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Geothermal_Expedition
A Goldstruck Gigas	Abyssea Quests	implemented	scripts/quests/abyssea/A_Goldstruck_Gigas.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Goldstruck_Gigas
A Good Pair of Crocs	Adoulin Quests	implemented	scripts/quests/adoulin/A_Good_Pair_of_Crocs.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Good_Pair_of_Crocs
A Greeting Cardian	Windurst Quests	implemented	scripts/zones/Windurst_Woods/npcs/Spare_Five.lua				https://www.bg-wiki.com/ffxi/A_Greeting_Cardian
A Hard Day's Knight	Other Quests	implemented	scripts/quests/otherAreas/A_Hard_Days_Knight.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Hard_Day%27s_Knight
A Jeweler's Lament	Bastok Markets (S) Quests	implemented	scripts/quests/crystalWar/A_Jewelers_Lament.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Jeweler%27s_Lament
A Job for the Consortium	Port San d'Oria Quests	implemented	scripts/quests/sandoria/A_Job_for_the_Consortium.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Job_for_the_Consortium
A Journey Begins	Abyssea Quests	implemented	scripts/quests/abyssea/A_Journey_Begins.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Journey_Begins
A Knight's Test	Additional Job Quests	implemented	scripts/quests/sandoria/A_Knights_Test.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Knight%27s_Test
A Lady's Heart	Bastok Quests	implemented	scripts/quests/bastok/A_Ladys_Heart.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Lady%27s_Heart
A Little Knowledge	Additional Job Quests	implemented	scripts/quests/crystalWar/A_Little_Knowledge.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Little_Knowledge
A Man-eating Mite	Abyssea - Uleguerand Quests	implemented	scripts/quests/abyssea/A_Man-eating_Mite.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Man-eating_Mite
A Manifest Problem	Crystal War Quests	implemented	scripts/quests/crystalWar/A_Manifest_Problem.lua		CSID_MISSING(96:1230)		https://www.bg-wiki.com/ffxi/A_Manifest_Problem
A Mightier Martello (Altepa)	Abyssea - Altepa Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Altepa%29
A Mightier Martello (Attohwa)	Abyssea - Attohwa Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Attohwa%29
A Mightier Martello (Grauberg)	Abyssea - Grauberg Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Grauberg%29
A Mightier Martello (Konschtat)	Abyssea - Konschtat Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Konschtat%29
A Mightier Martello (La Theine)	Abyssea - La Theine Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28La_Theine%29
A Mightier Martello (Misareaux)	Abyssea - Misareaux Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Misareaux%29
A Mightier Martello (Tahrongi)	Abyssea - Tahrongi Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Tahrongi%29
A Mightier Martello (Uleguerand)	Abyssea - Uleguerand Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Uleguerand%29
A Mightier Martello (Vunkerl)	Abyssea - Attohwa Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Mightier_Martello_%28Vunkerl%29
A Minstrel in Despair	Jeuno Quests	implemented	scripts/quests/jeuno/A_Minstrel_In_Despair.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Minstrel_in_Despair
A Moonlight Requite	Abyssea - Empyreal Paradox Quests	implemented	scripts/quests/abyssea/A_Moonlight_Requite.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Moonlight_Requite
A Moral Manifest?	Other Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Moral_Manifest%3F
A New Dawn	Beastmaster Artifact Quests	implemented	scripts/zones/The_Eldieme_Necropolis/npcs/Sarcophagus.lua				https://www.bg-wiki.com/ffxi/A_New_Dawn
A New Menace	Crystal War Quests	MISSING					https://www.bg-wiki.com/ffxi/A_New_Menace
A Pioneer's Best (Imaginary) Friend	Adoulin Quests	implemented	scripts/quests/adoulin/A_Pioneers_Best_Imaginary_Friend.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Pioneer%27s_Best_%28Imaginary%29_Friend
A Pose by Any Other Name	Windurst Quests	implemented	scripts/quests/windurst/A_Pose_by_Any_Other_Name.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Pose_by_Any_Other_Name
A Potter's Preference	Mhaura Quests	implemented	scripts/quests/otherAreas/A_Potters_Preference.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Potter%27s_Preference
A Proper Burial	Bastok Markets Quests	implemented	scripts/quests/bastok/A_Proper_Burial.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Proper_Burial
A Purchase of Arms	San d'Oria Quests	implemented	scripts/quests/sandoria/A_Purchase_of_Arms.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Purchase_of_Arms
A Quaternary Trial in Tandem	Fellowship Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Quaternary_Trial_in_Tandem
A Question of Faith	Bastok Quests	implemented	scripts/quests/bastok/A_Question_of_Faith.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Question_of_Faith
A Question of Taste	Kazham Quests	implemented	scripts/quests/outlands/A_Question_of_Taste.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Question_of_Taste
A Reputation in Ruins	Jeuno Quests	implemented	scripts/quests/jeuno/A_Reputation_in_Ruins.lua				https://www.bg-wiki.com/ffxi/A_Reputation_in_Ruins
A Sea Dog's Summons	Abyssea Quests	implemented	scripts/quests/abyssea/A_Sea_Dogs_Summons.lua				https://www.bg-wiki.com/ffxi/A_Sea_Dog%27s_Summons
A Sentry's Peril	San d'Oria Quests	implemented	scripts/quests/sandoria/The_Generals_Secret.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Sentry%27s_Peril
A Shot in the Dark	Adoulin Quests	implemented	scripts/quests/adoulin/A_Shot_in_the_Dark.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Shot_in_the_Dark
A Smudge on One's Record	Map Quests	implemented	scripts/quests/windurst/A_Smudge_on_Ones_Record.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Smudge_on_One%27s_Record
A Squire's Test	San d'Oria Quests	implemented	scripts/quests/sandoria/A_Squires_Test.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Squire%27s_Test
A Squire's Test II	San d'Oria Quests	implemented	scripts/quests/sandoria/A_Squires_Test_II.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Squire%27s_Test_II
A Sterling Specimen	Abyssea - Tahrongi Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Sterling_Specimen
A Stone's Throw Away	Adoulin Quests	implemented	scripts/quests/adoulin/A_Stones_Throw_Away.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Stone%27s_Throw_Away
A Stygian Pact	Aht Urhgan Quests	implemented	scripts/quests/ahtUrhgan/A_Stygian_Pact.lua				https://www.bg-wiki.com/ffxi/A_Stygian_Pact
A Taste for Meat	Port San d'Oria Quests	implemented	scripts/quests/sandoria/A_Taste_for_Meat.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Taste_for_Meat
A Taste of Honey	Aht Urhgan Quests	implemented	scripts/quests/ahtUrhgan/A_Taste_of_Honey.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Taste_of_Honey
A Test of True Love	Bastok Quests	implemented	scripts/quests/bastok/A_Test_of_True_Love.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Test_of_True_Love
A Thief in Norg!?	Norg Quests	implemented	scripts/quests/outlands/SAM_AF3_A_Thief_in_Norg.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Thief_in_Norg%21%3F
A Thirst Before Time	Adoulin Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Thirst_Before_Time
A Thirst for Eternity	Adoulin Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Thirst_for_Eternity
A Thirst for the Ages	Adoulin Quests	implemented	scripts/zones/Western_Adoulin/npcs/Nikkhail.lua				https://www.bg-wiki.com/ffxi/A_Thirst_for_the_Ages
A Thirst for the Eons	Adoulin Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Thirst_for_the_Eons
A Thousand Cuts	Jeuno Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Thousand_Cuts
A Timely Visit	San d'Oria Quests	implemented	scripts/quests/sandoria/A_Timely_Visit.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Timely_Visit
A Trial in Tandem	Fellowship Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Trial_in_Tandem
A Trial in Tandem Revisited	Fellowship Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Trial_in_Tandem_Revisited
A Trial in Tandem, Redux	Fellowship Quests	MISSING					https://www.bg-wiki.com/ffxi/A_Trial_in_Tandem%2C_Redux
A Ward to End All Wards	Abyssea - Vunkerl Quests	implemented	scripts/quests/abyssea/A_Ward_to_End_All_Wards.lua		csids_ok		https://www.bg-wiki.com/ffxi/A_Ward_to_End_All_Wards
A World in Flux	Crystal War Quests	MISSING					https://www.bg-wiki.com/ffxi/A_World_in_Flux
Achieving True Power	Bastok Markets Quests	implemented	scripts/quests/bastok/Achieving_True_Power.lua		csids_ok		https://www.bg-wiki.com/ffxi/Achieving_True_Power
Acting in Good Faith	Windurst Quests	implemented	scripts/quests/windurst/Acting_in_Good_Faith.lua		csids_ok		https://www.bg-wiki.com/ffxi/Acting_in_Good_Faith
Ad Infinitum	Crystal War Quests	MISSING					https://www.bg-wiki.com/ffxi/Ad_Infinitum
Addled Mind, Undying Dreams	Abyssea - Konschtat Quests	implemented	scripts/quests/abyssea/Addled_Mind_Undying_Dreams.lua		csids_ok		https://www.bg-wiki.com/ffxi/Addled_Mind%2C_Undying_Dreams
Advanced Teamwork	Northern San d'Oria Quests	implemented	scripts/quests/sandoria/Advanced_Teamwork.lua		csids_ok		https://www.bg-wiki.com/ffxi/Advanced_Teamwork
Against All Odds	Aht Urhgan Quests	implemented	scripts/zones/The_Ashu_Talif/instances/against_all_odds.lua				https://www.bg-wiki.com/ffxi/Against_All_Odds
All at Sea	Port Windurst Quests	implemented	scripts/quests/windurst/All_At_Sea.lua		csids_ok		https://www.bg-wiki.com/ffxi/All_at_Sea
All by Myself	Bastok Markets Quests	implemented	scripts/quests/bastok/All_by_Myself.lua		csids_ok		https://www.bg-wiki.com/ffxi/All_by_Myself
All in the Cards	Jeuno Quests	implemented	scripts/quests/jeuno/All_in_the_Cards.lua				https://www.bg-wiki.com/ffxi/All_in_the_Cards
All the Way to the Bank	Adoulin Quests	implemented	scripts/zones/Western_Adoulin/npcs/Defliaa.lua				https://www.bg-wiki.com/ffxi/All_the_Way_to_the_Bank
Altana's Sorrow	Bastok Mines Quests	implemented	scripts/quests/bastok/Altanas_Sorrow.lua		csids_ok		https://www.bg-wiki.com/ffxi/Altana%27s_Sorrow
Altepa Gate	Mini-Quests	MISSING					https://www.bg-wiki.com/ffxi/Altepa_Gate
An Acrididaen Anodyne	Abyssea - Attohwa Quests	MISSING					https://www.bg-wiki.com/ffxi/An_Acrididaen_Anodyne
An Affable Adamantking?	Other Quests	implemented	scripts/quests/otherAreas/An_Affable_Adamantking.lua				https://www.bg-wiki.com/ffxi/An_Affable_Adamantking%3F
An Empty Vessel	Additional Job Quests	implemented	scripts/quests/ahtUrhgan/An_Empty_Vessel.lua		csids_ok		https://www.bg-wiki.com/ffxi/An_Empty_Vessel
An Explorer's Footsteps	Map Quests	implemented	scripts/quests/otherAreas/An_Explorers_Footsteps.lua		csids_ok		https://www.bg-wiki.com/ffxi/An_Explorer%27s_Footsteps
An Eye for Revenge	Abyssea - La Theine Quests	implemented	scripts/quests/abyssea/An_Eye_for_Revenge.lua		csids_ok		https://www.bg-wiki.com/ffxi/An_Eye_for_Revenge
An Imperial Heist	Aht Urhgan Quests	implemented	scripts/quests/ahtUrhgan/An_Imperial_Heist.lua				https://www.bg-wiki.com/ffxi/An_Imperial_Heist
An Offer You Can't Refuse	Abyssea - Attohwa Quests	implemented	scripts/quests/abyssea/An_Offer_You_Cant_Refuse.lua		csids_ok		https://www.bg-wiki.com/ffxi/An_Offer_You_Can%27t_Refuse
An Officer and a Pirate	Abyssea Quests	implemented	scripts/quests/abyssea/An_Officer_and_a_Pirate.lua		csids_ok		https://www.bg-wiki.com/ffxi/An_Officer_and_a_Pirate
An Ulcerous Uragnite	Abyssea - Grauberg Quests	implemented	scripts/quests/abyssea/An_Ulcerous_Uragnite.lua		csids_ok		https://www.bg-wiki.com/ffxi/An_Ulcerous_Uragnite
An Understanding Overlord?	Other Quests	implemented	scripts/quests/otherAreas/An_Understanding_Overlord.lua				https://www.bg-wiki.com/ffxi/An_Understanding_Overlord%3F
An Undying Pledge	Norg Quests	implemented	scripts/quests/outlands/An_Undying_Pledge.lua		csids_ok		https://www.bg-wiki.com/ffxi/An_Undying_Pledge
Apocalypse Nigh	Jeuno Quests	implemented	scripts/quests/jeuno/Apocalypse_Nigh.lua		csids_ok		https://www.bg-wiki.com/ffxi/Apocalypse_Nigh
Aqua Pura	Abyssea - Vunkerl Quests	implemented	scripts/quests/abyssea/Aqua_Pura.lua		csids_ok		https://www.bg-wiki.com/ffxi/Aqua_Pura
Aqua Puraga	Abyssea - Vunkerl Quests	MISSING					https://www.bg-wiki.com/ffxi/Aqua_Puraga
Arts and Crafts	Aht Urhgan Quests	implemented	scripts/quests/ahtUrhgan/Arts_and_Crafts.lua		csids_ok		https://www.bg-wiki.com/ffxi/Arts_and_Crafts
As Thick as Thieves	Thief Artifact Quests	implemented	scripts/quests/windurst/THF_AF2_As_Thick_as_Thieves.lua		csids_ok		https://www.bg-wiki.com/ffxi/As_Thick_as_Thieves
At Journey's End	Castle Oztroja (S) Quests	implemented	scripts/quests/crystalWar/At_Journeys_End.lua		CSID_MISSING(94:1210)		https://www.bg-wiki.com/ffxi/At_Journey%27s_End
Atelloune's Lament	San d'Oria Quests	implemented	scripts/quests/sandoria/Atellounes_Lament.lua		csids_ok		https://www.bg-wiki.com/ffxi/Atelloune%27s_Lament
Atop the Highest Mountains	Jeuno Quests	implemented	scripts/quests/jeuno/LB02_Atop_the_Highest_Mountains.lua		csids_ok		https://www.bg-wiki.com/ffxi/Atop_the_Highest_Mountains
Axe the Competition	Jeuno Quests	implemented	scripts/quests/jeuno/Axe_the_Competition.lua		csids_ok		https://www.bg-wiki.com/ffxi/Axe_the_Competition
Ayame and Kaede	Additional Job Quests	implemented	scripts/quests/bastok/Ayame_and_Kaede.lua		csids_ok		https://www.bg-wiki.com/ffxi/Ayame_and_Kaede
Babban Ny Mheillea	Windurst Quests	implemented	scripts/quests/windurst/Babban_Ny_Mheillea.lua		csids_ok		https://www.bg-wiki.com/ffxi/Babban_Ny_Mheillea
Bad Communication	Abyssea - Vunkerl Quests	MISSING					https://www.bg-wiki.com/ffxi/Bad_Communication
Bait and Switch	Bastok Quests	implemented	scripts/quests/bastok/Bait_and_Switch.lua		csids_ok		https://www.bg-wiki.com/ffxi/Bait_and_Switch
Battle on a New Front	Crystal War Quests	MISSING					https://www.bg-wiki.com/ffxi/Battle_on_a_New_Front
Beadeaux Smog	Bastok Quests	implemented	scripts/quests/bastok/Beadeaux_Smog.lua		csids_ok		https://www.bg-wiki.com/ffxi/Beadeaux_Smog
Beam Me Up...No, Not There!	Jeuno Quests	MISSING					https://www.bg-wiki.com/ffxi/Beam_Me_Up...No%2C_Not_There%21
Beans Ahoy!	Crystal War Quests	MISSING				scripts/zones/Southern_San_dOria_[S]/npcs/Thierride.lua	https://www.bg-wiki.com/ffxi/Beans_Ahoy%21
Beast from the East	Crystal War Quests	implemented	scripts/quests/crystalWar/Beast_from_the_East.lua		csids_ok		https://www.bg-wiki.com/ffxi/Beast_from_the_East
Beat Around the Bushin	Jeuno Quests	implemented	scripts/zones/Lower_Jeuno/npcs/Vola.lua				https://www.bg-wiki.com/ffxi/Beat_Around_the_Bushin
Beauty and the Galka	Bastok Mines Quests	implemented	scripts/quests/bastok/Beauty_and_the_Galka.lua		csids_ok		https://www.bg-wiki.com/ffxi/Beauty_and_the_Galka
Beginnings	Aht Urhgan Quests	implemented	scripts/quests/ahtUrhgan/BLU_AF1_Beginnings.lua		csids_ok		https://www.bg-wiki.com/ffxi/Beginnings
Behind the Smile	Other Quests	implemented	scripts/quests/otherAreas/Behind_the_Smile.lua		csids_ok		https://www.bg-wiki.com/ffxi/Behind_the_Smile
Beneath a Blood-red Sky	Abyssea Quests	implemented	scripts/quests/abyssea/Beneath_a_Blood_Red_Sky.lua				https://www.bg-wiki.com/ffxi/Beneath_a_Blood-red_Sky
Beneath the Mask	Bastok Markets (S) Quests	implemented	scripts/quests/crystalWar/WOTG_BAS_9_Beneath_the_Mask.lua		csids_ok		https://www.bg-wiki.com/ffxi/Beneath_the_Mask
Benevolence Lost	Abyssea - Grauberg Quests	implemented	scripts/quests/abyssea/Benevolence_Lost.lua		csids_ok		https://www.bg-wiki.com/ffxi/Benevolence_Lost
Better Part of Valor	Crystal War Quests	implemented	scripts/quests/crystalWar/WOTG_BAS_1_Better_Part_of_Valor.lua		csids_ok		https://www.bg-wiki.com/ffxi/Better_Part_of_Valor
Better the Demon You Know	Other Quests	implemented	scripts/quests/otherAreas/Better_The_Demon_You_Know.lua		csids_ok		https://www.bg-wiki.com/ffxi/Better_the_Demon_You_Know
Between a Rock and Rift	Crystal War Quests	MISSING					https://www.bg-wiki.com/ffxi/Between_a_Rock_and_Rift
Beyond Infinity	Jeuno Quests	implemented	scripts/quests/jeuno/LB10_Beyond_Infinity.lua				https://www.bg-wiki.com/ffxi/Beyond_Infinity
Beyond the Stars	Jeuno Quests	implemented	scripts/quests/jeuno/LB08_Beyond_the_Stars.lua				https://www.bg-wiki.com/ffxi/Beyond_the_Stars
Beyond the Sun	Jeuno Quests	implemented	scripts/quests/jeuno/LB05_2_Beyond_the_Sun.lua		csids_ok		https://www.bg-wiki.com/ffxi/Beyond_the_Sun
Bite the Dust	Bastok Quests	implemented	scripts/quests/bastok/Bite_the_Dust.lua		csids_ok		https://www.bg-wiki.com/ffxi/Bite_the_Dust
Black Market	Norg Quests	implemented	scripts/quests/outlands/Black_Market.lua		csids_ok		https://www.bg-wiki.com/ffxi/Black_Market
Black Tiger Skins	San d'Oria Quests	implemented	scripts/quests/sandoria/Black_Tiger_Skins.lua		csids_ok		https://www.bg-wiki.com/ffxi/Black_Tiger_Skins
Blackmail	Northern San d'Oria Quests	implemented	scripts/quests/sandoria/Blackmail.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blackmail
Blade of Darkness	Additional Job Quests	implemented	scripts/quests/bastok/Blade_of_Darkness.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blade_of_Darkness
Blade of Death	Bastok Mines Quests	implemented	scripts/quests/bastok/Blade_of_Death.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blade_of_Death
Blade of Evil	Bastok Quests	implemented	scripts/quests/bastok/DRK_AF3_Blade_of_Evil.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blade_of_Evil
Blast from the Past	Windurst Quests	implemented	scripts/quests/windurst/Blast_from_the_Past.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blast_from_the_Past
Blessed Radiance	Fellowship Quests	implemented	scripts/zones/Windurst_Waters/npcs/Tosuka-Porika.lua				https://www.bg-wiki.com/ffxi/Blessed_Radiance
Blighted Gloom	Fellowship Quests	MISSING					https://www.bg-wiki.com/ffxi/Blighted_Gloom
Blood and Glory	Windurst Quests	implemented	scripts/quests/windurst/Blood_and_Glory.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blood_and_Glory
Blood of Heroes	Crystal War Quests	implemented	scripts/quests/crystalWar/Blood_of_Heroes.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blood_of_Heroes
Blue Ribbon Blues	Windurst Quests	implemented	scripts/quests/windurst/Blue_Ribbon_Blues.lua		csids_ok		https://www.bg-wiki.com/ffxi/Blue_Ribbon_Blues
Boiling Over	Adoulin Quests	implemented	scripts/quests/adoulin/Boiling_Over.lua		csids_ok		https://www.bg-wiki.com/ffxi/Boiling_Over
Bombs Away!	Other Quests	implemented	scripts/quests/otherAreas/Bombs_Away.lua		csids_ok		https://www.bg-wiki.com/ffxi/Bombs_Away%21
Bonds That Never Die	Crystal War Quests	implemented	scripts/quests/crystalWar/Bonds_That_Never_Die.lua		csids_ok		https://www.bg-wiki.com/ffxi/Bonds_That_Never_Die
Bonds of Mythril	Castle Zvahl Baileys (S) Quests	implemented	scripts/quests/crystalWar/WOTG_BAS_12_Bonds_of_Mythril.lua		csids_ok		https://www.bg-wiki.com/ffxi/Bonds_of_Mythril
Boreal Blossoms	Abyssea - Uleguerand Quests	implemented	scripts/quests/abyssea/Boreal_Blossoms.lua		csids_ok		https://www.bg-wiki.com/ffxi/Boreal_Blossoms
Borghertz's Calling Hands	Jeuno Quests	implemented	scripts/quests/jeuno/Borghertzs_Calling_Hands.lua				https://www.bg-wiki.com/ffxi/Borghertz%27s_Calling_Hands
Borghertz's Chasing Hands	Jeuno Quests	implemented	scripts/quests/jeuno/Borghertzs_Chasing_Hands.lua				https://www.bg-wiki.com/ffxi/Borghertz%27s_Chasing_Hands
Borghertz's Dragon Hands	Dragoon Artifact Quests	implemented	scripts/quests/jeuno/Borghertzs_Dragon_Hands.lua				https://www.bg-wiki.com/ffxi/Borghertz%27s_Dragon_Hands
Borghertz's Harmonious Hands	Bard Artifact Quests	implemented	scripts/quests/jeuno/Borghertzs_Harmonious_Hands.lua				https://www.bg-wiki.com/ffxi/Borghertz%27s_Harmonious_Hands
