log_area	enum_name	declared_id	client_id	client_title	bgwiki_title	impl_file	marker	verdict
sandoria	THE_HOLY_CREST	93	93	The Holy Crest	The Holy Crest	scripts/zones/Northern_San_dOria/npcs/Morjean.lua	+	CONFIRMED
sandoria	A_CRAFTSMANS_WORK	94	94	A Craftsman's Work	A Craftsman's Work	scripts/zones/Northern_San_dOria/npcs/Miaux.lua	+	CONFIRMED
sandoria	CHASING_QUOTAS	95	95	Chasing Quotas	Chasing Quotas	scripts/zones/Chateau_dOraguille/npcs/Rahal.lua	+	UNVERIFIED
sandoria	KNIGHT_STALKER	96	96	Knight Stalker	Knight Stalker	scripts/zones/Southern_San_dOria/npcs/Balasiel.lua	+	CONFIRMED
sandoria	ECO_WARRIOR	97	97	Eco-Warrior	Eco-Warrior	scripts/zones/Southern_San_dOria/npcs/Norejaie.lua	+	CONFIRMED
sandoria	METHODS_CREATE_MADNESS	98	98	Methods Create Madness	Methods Create Madness	scripts/quests/sandoria/Methods_Create_Madness.lua	+ Converted	CONFIRMED
sandoria	SOULS_IN_SHADOW	99	99	Souls in Shadow	Souls in Shadow	scripts/quests/sandoria/Souls_in_Shadow.lua	+ Converted	CONFIRMED
sandoria	A_TASTE_FOR_MEAT	100	100	A Taste for Meat	A Taste for Meat	scripts/quests/sandoria/A_Taste_for_Meat.lua	+ Converted	CONFIRMED
sandoria	EXIT_THE_GAMBLER	101	101	Exit the Gambler	Exit the Gambler	scripts/quests/sandoria/Exit_the_Gambler.lua	+ Converted	CONFIRMED
sandoria	OLD_WOUNDS	102	102	Old Wounds	Old Wounds	scripts/quests/sandoria/Old_Wounds.lua	+ Converted	CONFIRMED
sandoria	ESCORT_FOR_HIRE	103	103	Escort for Hire (San d'Oria)	Escort for Hire	scripts/quests/sandoria/Escort_for_Hire.lua	+ Converted	UNVERIFIED
sandoria	A_DISCERNING_EYE	104	104	A Discerning Eye (San d'Oria)	A Discerning Eye (Bastok)	scripts/quests/sandoria/A_Discerning_Eye.lua	+ Converted	CONFIRMED
sandoria	A_TIMELY_VISIT	105	105	A Timely Visit	A Timely Visit	scripts/quests/sandoria/A_Timely_Visit.lua	+ Converted	CONFIRMED
sandoria	FIT_FOR_A_PRINCE	106	106	Fit for a Prince	Fit for a Prince	scripts/quests/sandoria/Fit_for_a_Prince.lua	+ Converted	UNVERIFIED
sandoria	TRIAL_SIZE_TRIAL_BY_ICE	107	107	Trial-Size Trial by Ice	Trial-Size Trial by Ice	scripts/quests/sandoria/Trial_Size_Trial_by_Ice.lua	+ Converted	CONFIRMED
sandoria	SIGNED_IN_BLOOD	108	108	Signed in Blood	Signed in Blood	scripts/quests/sandoria/Signed_in_Blood.lua	+ Converted	CONFIRMED
sandoria	TEA_WITH_A_TONBERRY	109	109	Tea with a Tonberry?	Tea with a Tonberry?	scripts/quests/sandoria/Tea_with_a_Tonberry.lua	+ Converted	CONFIRMED
sandoria	SPICE_GALS	110	110	Spice Gals	Spice Gals	scripts/quests/sandoria/Spice_Gals.lua	+ Converted	CONFIRMED
sandoria	OVER_THE_HILLS_AND_FAR_AWAY	112	112	Over the Hills and Far Away	Over the Hills and Far Away	scripts/quests/sandoria/Over_the_Hills_and_Far_Away.lua	+ Converted	CONFIRMED
sandoria	LURE_OF_THE_WILDCAT	113	113	Lure of the Wildcat (San d'Oria)	Lure of the Wildcat	scripts/zones/Chateau_dOraguille/npcs/Halver.lua	+	UNVERIFIED
sandoria	ATELLOUNES_LAMENT	114	114	SDクエスト114	Atelloune's Lament	scripts/quests/sandoria/Atellounes_Lament.lua	+ Converted	CONFIRMED
sandoria	THICK_SHELLS	117	117	Thick Shells	Thick Shells	scripts/quests/sandoria/Thick_Shells.lua	+ Converted	CONFIRMED
sandoria	FOREST_FOR_THE_TREES	118	118	SDクエスト118	Forest for the Trees	scripts/quests/sandoria/Forest_for_the_Trees.lua	+ Converted	CONFIRMED
sandoria	TRUST_SANDORIA	119	119	SDクエスト119		scripts/quests/sandoria/Trust_Sandoria.lua	+ Converted	CONFIRMED
bastok	THE_SIRENS_TEAR	0	0	The Siren's Tear	The Siren's Tear	scripts/quests/bastok/The_Sirens_Tear.lua	+ Converted	CONFIRMED
bastok	BEAUTY_AND_THE_GALKA	1	1	Beauty and the Galka	Beauty and the Galka	scripts/quests/bastok/Beauty_and_the_Galka.lua	+ Converted	CONFIRMED
bastok	WELCOME_TO_BASTOK	2	2	Welcome to Bastok	Welcome to Bastok	scripts/quests/bastok/Welcome_to_Bastok.lua	+ Converted	CONFIRMED
bastok	GUEST_OF_HAUTEUR	3	3	Guest of Hauteur	Guest of Hauteur	scripts/quests/bastok/Guest_of_Hauteur.lua	+ Converted	CONFIRMED
bastok	THE_QUADAVS_CURSE	4	4	The Quadav's Curse	The Quadav's Curse	scripts/quests/bastok/The_Quadavs_Curse.lua	+ Converted	CONFIRMED
bastok	OUT_OF_ONES_SHELL	5	5	Out of One's Shell	Out of One's Shell	scripts/quests/bastok/Out_of_Ones_Shell.lua	+ Converted	CONFIRMED
bastok	HEARTS_OF_MYTHRIL	6	6	Hearts of Mythril	Hearts of Mythril	scripts/quests/bastok/Hearts_of_Mythril.lua	+ Converted	CONFIRMED
bastok	THE_ELEVENTHS_HOUR	7	7	The Eleventh's Hour	The Eleventh's Hour	scripts/quests/bastok/The_Elevenths_Hour.lua	+ Converted	CONFIRMED
bastok	SHADY_BUSINESS	8	8	Shady Business	Shady Business	scripts/quests/bastok/Shady_Business.lua	+ Converted	CONFIRMED
bastok	A_FOREMANS_BEST_FRIEND	9	9	A Foreman's Best Friend	A Foreman's Best Friend	scripts/quests/bastok/A_Foremans_Best_Friend.lua	+ Converted	CONFIRMED
bastok	BREAKING_STONES	10	10	Breaking Stones	Breaking Stones	scripts/quests/bastok/Breaking_Stones.lua	+ Converted	CONFIRMED
bastok	THE_COLD_LIGHT_OF_DAY	11	11	The Cold Light of Day	The Cold Light of Day	scripts/quests/bastok/The_Cold_Light_of_Day.lua	+ Converted	CONFIRMED
bastok	GOURMET	12	12	Gourmet	Gourmet	scripts/quests/bastok/Gourmet.lua	+ Converted	CONFIRMED
bastok	THE_ELVAAN_GOLDSMITH	13	13	The Elvaan Goldsmith	The Elvaan Goldsmith	scripts/quests/bastok/The_Elvaan_Goldsmith.lua	+ Converted	CONFIRMED
bastok	A_FLASH_IN_THE_PAN	14	14	A Flash in the Pan	A Flash in the Pan	scripts/quests/bastok/A_Flash_in_the_Pan.lua	+ Converted	CONFIRMED
bastok	SMOKE_ON_THE_MOUNTAIN	15	15	Smoke on the Mountain	Smoke on the Mountain	scripts/quests/bastok/Smoke_on_the_Mountain.lua	+ Converted	CONFIRMED
bastok	STAMP_HUNT	16	16	Stamp Hunt	Stamp Hunt	scripts/quests/bastok/Stamp_Hunt.lua	+ Converted	CONFIRMED
bastok	FOREVER_TO_HOLD	17	17	Forever to Hold	Forever to Hold	scripts/quests/bastok/Forever_to_Hold.lua	+ Converted	CONFIRMED
bastok	TILL_DEATH_DO_US_PART	18	18	Till Death Do Us Part	Till Death Do Us Part	scripts/quests/bastok/Till_Death_Do_Us_Part.lua	+ Converted	CONFIRMED
bastok	FALLEN_COMRADES	19	19	Fallen Comrades	Fallen Comrades	scripts/quests/bastok/Fallen_Comrades.lua	+ Converted	CONFIRMED
bastok	RIVALS	20	20	Rivals	Rivals	scripts/quests/bastok/Rivals.lua	+ Converted	CONFIRMED
bastok	MOM_THE_ADVENTURER	21	21	Mom, the Adventurer?	Mom, the Adventurer?	scripts/quests/bastok/Mom_the_Adventurer.lua	+ Converted, NOTE: This is missable on retail. We've opted not to follow that behaviour. There is a module in /modules/era/lua to restore that behaviour if desired	CONFIRMED
bastok	THE_SIGNPOST_MARKS_THE_SPOT	22	22	The Signpost Marks the Spot	The Signpost Marks the Spot	scripts/quests/bastok/The_Signpost_Marks_the_Spot.lua	+ Converted	CONFIRMED
bastok	PAST_PERFECT	23	23	Past Perfect	Past Perfect	scripts/quests/bastok/Past_Perfect.lua	+ Converted	CONFIRMED
bastok	STARDUST	24	24	Stardust	Stardust	scripts/quests/bastok/Stardust.lua	+ Converted	CONFIRMED
bastok	MEAN_MACHINE	25	25	Mean Machine	Mean Machine	scripts/quests/bastok/Mean_Machine.lua	+ Converted	CONFIRMED
bastok	CIDS_SECRET	26	26	Cid's Secret	Cid's Secret	scripts/quests/bastok/Cids_Secret.lua	+ Converted	CONFIRMED
bastok	THE_USUAL	27	27	The Usual	The Usual	scripts/quests/bastok/The_Usual.lua	+ Converted	CONFIRMED
bastok	BLADE_OF_DARKNESS	28	28	Blade of Darkness	Blade of Darkness	scripts/quests/bastok/Blade_of_Darkness.lua	+ Converted	CONFIRMED
bastok	FATHER_FIGURE	29	29	Father Figure	Father Figure	scripts/quests/bastok/Father_Figure.lua	+ Converted	CONFIRMED
bastok	THE_RETURN_OF_THE_ADVENTURER	30	30	The Return of the Adventurer	The Return of the Adventurer	scripts/quests/bastok/The_Return_of_the_Adventurer.lua	+ Converted	CONFIRMED
bastok	DRACHENFALL	31	31	Drachenfall	Drachenfall	scripts/quests/bastok/Drachenfall.lua	+ Converted	CONFIRMED
bastok	VENGEFUL_WRATH	32	32	Vengeful Wrath	Vengeful Wrath	scripts/quests/bastok/Vengeful_Wrath.lua	+ Converted	CONFIRMED
bastok	BEADEAUX_SMOG	33	33	Beadeaux Smog	Beadeaux Smog	scripts/quests/bastok/Beadeaux_Smog.lua	+ Converted	CONFIRMED
bastok	THE_CURSE_COLLECTOR	34	34	The Curse Collector	The Curse Collector	scripts/quests/bastok/The_Curse_Collector.lua	+ Converted	CONFIRMED
bastok	FEAR_OF_FLYING	35	35	Fear of Flying	Fear of Flying	scripts/quests/bastok/Fear_of_Flying.lua	+ Converted	CONFIRMED
bastok	THE_WISDOM_OF_ELDERS	36	36	The Wisdom of Elders	The Wisdom of Elders	scripts/quests/bastok/The_Wisdom_of_Elders.lua	+ Converted	CONFIRMED
bastok	GROCERIES	37	37	Groceries	Groceries	scripts/quests/bastok/Groceries.lua	+ Converted	CONFIRMED
bastok	THE_BARE_BONES	38	38	The Bare Bones	The Bare Bones	scripts/quests/bastok/The_Bare_Bones.lua	+ Converted	CONFIRMED
bastok	MINESWEEPER	39	39	Minesweeper	Minesweeper	scripts/quests/bastok/Minesweeper.lua	+ Converted	CONFIRMED
bastok	THE_DARKSMITH	40	40	The Darksmith	The Darksmith	scripts/quests/bastok/The_Darksmith.lua	+ Converted	CONFIRMED
bastok	BUCKETS_OF_GOLD	41	41	Buckets of Gold	Buckets of Gold	scripts/quests/bastok/Buckets_of_Gold.lua	+ Converted	CONFIRMED
bastok	THE_STARS_OF_IFRIT	42	42	The Stars of Ifrit	The Stars of Ifrit	scripts/quests/bastok/The_Stars_of_Ifrit.lua	+ Converted	CONFIRMED
bastok	LOVE_AND_ICE	43	43	Love and Ice	Love and Ice	scripts/quests/bastok/Love_and_Ice.lua	+ Converted	CONFIRMED
bastok	BRYGID_THE_STYLIST	44	44	Brygid the Stylist	Brygid the Stylist	scripts/quests/bastok/Brygid_the_Stylist.lua	+ Converted	CONFIRMED
bastok	THE_GUSTABERG_TOUR	45	45	The Gustaberg Tour	The Gustaberg Tour	scripts/quests/bastok/The_Gustaberg_Tour.lua	+ Converted	CONFIRMED
bastok	BITE_THE_DUST	46	46	Bite the Dust	Bite the Dust	scripts/quests/bastok/Bite_the_Dust.lua	+ Converted	CONFIRMED
bastok	BLADE_OF_DEATH	47	47	Blade of Death	Blade of Death	scripts/quests/bastok/Blade_of_Death.lua	+ Converted	CONFIRMED
bastok	SILENCE_OF_THE_RAMS	48	48	Silence of the Rams	Silence of the Rams	scripts/quests/bastok/Silence_of_the_Rams.lua	+ Converted	CONFIRMED
bastok	ALTANAS_SORROW	49	49	Altana's Sorrow	Altana's Sorrow	scripts/quests/bastok/Altanas_Sorrow.lua	+ Converted	CONFIRMED
bastok	A_LADYS_HEART	50	50	A Lady's Heart	A Lady's Heart	scripts/quests/bastok/A_Ladys_Heart.lua	+ Converted	CONFIRMED
bastok	GHOSTS_OF_THE_PAST	51	51	Ghosts of the Past	Ghosts of the Past	scripts/quests/bastok/MNK_AF1_Ghosts_of_the_Past.lua	+ Converted	CONFIRMED
bastok	THE_FIRST_MEETING	52	52	The First Meeting	The First Meeting	scripts/quests/bastok/MNK_AF2_The_First_Meeting.lua	+ Converted	CONFIRMED
bastok	TRUE_STRENGTH	53	53	True Strength	True Strength	scripts/quests/bastok/MNK_AF3_True_Strength.lua	+ Converted	CONFIRMED
bastok	THE_DOORMAN	54	54	The Doorman	The Doorman	scripts/quests/bastok/WAR_AF1_The_Doorman.lua	+ Converted	CONFIRMED
bastok	THE_TALEKEEPERS_TRUTH	55	55	The Talekeeper's Truth	The Talekeeper's Truth	scripts/quests/bastok/WAR_AF2_The_Talekeepers_Truth.lua	+ Converted	CONFIRMED
bastok	THE_TALEKEEPERS_GIFT	56	56	The Talekeeper's Gift	The Talekeeper's Gift	scripts/quests/bastok/WAR_AF3_The_Talekeepers_Gift.lua	+ Converted	CONFIRMED
bastok	DARK_LEGACY	57	57	Dark Legacy	Dark Legacy	scripts/quests/bastok/DRK_AF1_Dark_Legacy.lua	+ Converted	CONFIRMED
bastok	DARK_PUPPET	58	58	Dark Puppet	Dark Puppet	scripts/quests/bastok/DRK_AF2_Dark_Puppet.lua	+ Converted	CONFIRMED
bastok	BLADE_OF_EVIL	59	59	Blade of Evil	Blade of Evil	scripts/quests/bastok/DRK_AF3_Blade_of_Evil.lua	+ Converted	CONFIRMED
bastok	AYAME_AND_KAEDE	60	60	Ayame and Kaede	Ayame and Kaede	scripts/quests/bastok/Ayame_and_Kaede.lua	+ Converted	CONFIRMED
bastok	TRIAL_BY_EARTH	61	61	Trial by Earth	Trial by Earth	scripts/quests/bastok/Trial_by_Earth.lua	+ Converted	CONFIRMED
bastok	A_TEST_OF_TRUE_LOVE	62	62	A Test of True Love	A Test of True Love	scripts/quests/bastok/A_Test_of_True_Love.lua	+ Converted	CONFIRMED
bastok	LOVERS_IN_THE_DUSK	63	63	Lovers in the Dusk	Lovers in the Dusk	scripts/quests/bastok/Lovers_in_the_Dusk.lua	+ Converted	CONFIRMED
bastok	WISH_UPON_A_STAR	64	64	Wish Upon a Star	Wish Upon a Star	scripts/quests/bastok/Wish_Upon_a_Star.lua	+ Converted	CONFIRMED
bastok	ECO_WARRIOR	65	65	Eco-Warrior	Eco-Warrior	scripts/zones/Port_Bastok/npcs/Raifa.lua	+	CONFIRMED
bastok	THE_WEIGHT_OF_YOUR_LIMITS	66	66	The Weight of Your Limits	The Weight of Your Limits	scripts/quests/bastok/The_Weight_of_Your_Limits.lua	+ Converted	CONFIRMED
bastok	SHOOT_FIRST_ASK_QUESTIONS_LATER	67	67	Shoot First, Ask Questions Later	Shoot First, Ask Questions Later	scripts/quests/bastok/Shoot_First_Ask_Questions_Later.lua	+ Converted	CONFIRMED
bastok	INHERITANCE	68	68	Inheritance	Inheritance	scripts/quests/bastok/Inheritance.lua	+ Converted	CONFIRMED
bastok	THE_WALLS_OF_YOUR_MIND	69	69	The Walls of Your Mind	The Walls of Your Mind	scripts/quests/bastok/The_Walls_of_Your_Mind.lua	+ Converted	CONFIRMED
bastok	ESCORT_FOR_HIRE	70	70	Escort for Hire (Bastok)	Escort for Hire	scripts/quests/bastok/Escort_for_Hire.lua	+ Converted	CONFIRMED
bastok	A_DISCERNING_EYE	71	71	A Discerning Eye (Bastok)	A Discerning Eye (Bastok)	scripts/quests/bastok/A_Discerning_Eye.lua	+ Converted	CONFIRMED
bastok	TRIAL_SIZE_TRIAL_BY_EARTH	72	72	Trial-Size Trial by Earth	Trial-Size Trial by Earth	scripts/quests/bastok/Trial_Size_Trial_by_Earth.lua	+ Converted	CONFIRMED
bastok	FADED_PROMISES	73	73	Faded Promises	Faded Promises	scripts/quests/bastok/Faded_Promises.lua	+ Converted	CONFIRMED
bastok	BRYGID_THE_STYLIST_RETURNS	74	74	Brygid the Stylist Returns	Brygid the Stylist Returns	scripts/quests/bastok/Brygid_the_Stylist_Returns.lua	+ Converted	CONFIRMED
bastok	OUT_OF_THE_DEPTHS	75	75	Out of the Depths	Out of the Depths	scripts/quests/bastok/Out_of_the_Depths.lua	+ Converted	CONFIRMED
bastok	ALL_BY_MYSELF	76	76	All by Myself	All by Myself	scripts/quests/bastok/All_by_Myself.lua	+ Converted	CONFIRMED
bastok	A_QUESTION_OF_FAITH	77	77	A Question of Faith	A Question of Faith	scripts/quests/bastok/A_Question_of_Faith.lua	+ Converted	CONFIRMED
bastok	RETURN_TO_THE_DEPTHS	78	78	Return to the Depths	Return to the Depths	scripts/quests/bastok/Return_to_the_Depths.lua	+ Converted	CONFIRMED
bastok	TEAK_ME_TO_THE_STARS	79	79	Teak Me to the Stars	Teak Me to the Stars	scripts/quests/bastok/Teak_Me_to_the_Stars.lua	+ Converted	CONFIRMED
bastok	HYPER_ACTIVE	80	80	Hyper Active	Hyper Active	scripts/quests/bastok/Hyper_Active.lua	+ Converted	CONFIRMED
bastok	THE_NAMING_GAME	81	81	The Naming Game	The Naming Game	scripts/quests/bastok/The_Naming_Game.lua	+ Converted	CONFIRMED
bastok	CHIPS	82	82	Chips	Chips	scripts/quests/bastok/Chips.lua	+ Converted	CONFIRMED
bastok	BAIT_AND_SWITCH	83	83	Bait and Switch	Bait and Switch	scripts/quests/bastok/Bait_and_Switch.lua	+ Converted	CONFIRMED
bastok	LURE_OF_THE_WILDCAT	84	84	Lure of the Wildcat (Bastok)	Lure of the Wildcat	scripts/quests/bastok/Lure_of_the_Wildcat_Bastok.lua	+ Converted	CONFIRMED
bastok	ACHIEVING_TRUE_POWER	85	85	Achieving True Power	Achieving True Power	scripts/quests/bastok/Achieving_True_Power.lua	+ Converted	CONFIRMED
bastok	TOO_MANY_CHEFS	86	86	BSクエスト86	Too Many Chefs	scripts/zones/Bastok_Markets/npcs/Umberto.lua	+	CONFIRMED
bastok	A_PROPER_BURIAL	87	87	BSクエスト87	A Proper Burial	scripts/quests/bastok/A_Proper_Burial.lua	+ Converted	CONFIRMED
bastok	FULLY_MENTAL_ALCHEMIST	88	88	BSクエスト88	Fully Mental Alchemist	scripts/quests/bastok/Fully_Mental_Alchemist.lua	+ Converted	CONFIRMED
